screen_name,followers_count,date
LazadaMY,41440,2021-02-03
ShopeeMY,22319,2021-02-03
GrabMY,53958,2021-02-03
watsonsmy,308812,2021-02-03
LazadaMY,41452,2021-02-04
ShopeeMY,22422,2021-02-04
GrabMY,54000,2021-02-04
watsonsmy,308799,2021-02-04
LazadaMY,41455,2021-02-05
ShopeeMY,22459,2021-02-05
GrabMY,54008,2021-02-05
watsonsmy,308873,2021-02-05
LazadaMY,41472,2021-02-06
ShopeeMY,22526,2021-02-06
GrabMY,54039,2021-02-06
watsonsmy,308853,2021-02-06
LazadaMY,41483,2021-02-07
ShopeeMY,22562,2021-02-07
GrabMY,54076,2021-02-07
watsonsmy,308794,2021-02-07
LazadaMY,41496,2021-02-08
ShopeeMY,22596,2021-02-08
GrabMY,54114,2021-02-08
watsonsmy,308888,2021-02-08
LazadaMY,41497,2021-02-09
ShopeeMY,22618,2021-02-09
GrabMY,54130,2021-02-09
watsonsmy,308861,2021-02-09
LazadaMY,41516,2021-02-10
ShopeeMY,22656,2021-02-10
GrabMY,54159,2021-02-10
watsonsmy,309062,2021-02-10
